*-------------------------------------------------------------------------------------------
* system regs
*-------------------------------------------------------------------------------------------
* RegName           		RegAddr       RegMask      R     W     Description
*-------------------------------------------------------------------------------------------
vfat2_cms_j26_spare             40010b97      ffffffff     1     1

* cms J44
vfat2_cms_j44_ctrl0             40010d00      ffffffff     1     1
vfat2_cms_j44_ctrl1             40010d01      ffffffff     1     1
vfat2_cms_j44_ipreampin         40010d02      ffffffff     1     1
vfat2_cms_j44_ipreampfeed       40010d03      ffffffff     1     1
vfat2_cms_j44_ipreampout        40010d04      ffffffff     1     1
vfat2_cms_j44_ishaper           40010d05      ffffffff     1     1
vfat2_cms_j44_ishaperfeed       40010d06      ffffffff     1     1
vfat2_cms_j44_icomp             40010d07      ffffffff     1     1
vfat2_cms_j44_chipid0           40010d08      ffffffff     1     0
vfat2_cms_j44_chipid1           40010d09      ffffffff     1     0
vfat2_cms_j44_upsetreg          40010d0A      ffffffff     1     0
vfat2_cms_j44_hitcounter0       40010d0B      ffffffff     1     0
vfat2_cms_j44_hitcounter1       40010d0C      ffffffff     1     0
vfat2_cms_j44_hitcounter2       40010d0D      ffffffff     1     0
vfat2_cms_j44_extregpointer     40010d0E      ffffffff     1     1
vfat2_cms_j44_extregdata        40010d0F      ffffffff     1     1
vfat2_cms_j44_lat               40010d10      ffffffff     1     1
vfat2_cms_j44_channel1          40010d11      ffffffff     1     1
vfat2_cms_j44_channel2          40010d12      ffffffff     1     1
vfat2_cms_j44_channel10         40010d20      ffffffff     1     1
vfat2_cms_j44_vcal              40010d91      ffffffff     1     1
vfat2_cms_j44_vthreshold1       40010d92      ffffffff     1     1
vfat2_cms_j44_vthreshold2       40010d93      ffffffff     1     1
vfat2_cms_j44_calphase          40010d94      ffffffff     1     1
vfat2_cms_j44_ctrl2             40010d95      ffffffff     1     1
vfat2_cms_j44_ctrl3             40010d96      ffffffff     1     1
vfat2_cms_j44_spare             40010d97      ffffffff     1     1

****totem J58
vfat2_totem_j58_ctrl0             40010800    ffffffff     1     1
vfat2_totem_j58_ctrl1             40010801    ffffffff     1     1
vfat2_totem_j58_ipreampin         40010802    ffffffff     1     1
vfat2_totem_j58_ipreampfeed       40010803    ffffffff     1     1
vfat2_totem_j58_ipreampout        40010804    ffffffff     1     1
vfat2_totem_j58_ishaper           40010805    ffffffff     1     1
vfat2_totem_j58_ishaperfeed       40010806    ffffffff     1     1
vfat2_totem_j58_icomp             40010807    ffffffff     1     1
vfat2_totem_j58_chipid0           40010808    ffffffff     1     0
vfat2_totem_j58_chipid1           40010809    ffffffff     1     0
vfat2_totem_j58_upsetreg          4001080A    ffffffff     1     0
vfat2_totem_j58_hitcounter0       4001080B    ffffffff     1     0
vfat2_totem_j58_hitcounter1       4001080C    ffffffff     1     0
vfat2_totem_j58_hitcounter2       4001080D    ffffffff     1     0
vfat2_totem_j58_extregpointer     4001080E    ffffffff     1     1
vfat2_totem_j58_extregdata        4001080F    ffffffff     1     1
vfat2_totem_j58_lat               40010810    ffffffff     1     1
vfat2_totem_j58_channel1          40010811    ffffffff     1     1
vfat2_totem_j58_channel2          40010812    ffffffff     1     1
vfat2_totem_j58_channel10         40010820    ffffffff     1     1
vfat2_totem_j58_vcal              40010891    ffffffff     1     1
vfat2_totem_j58_vthreshold1       40010892    ffffffff     1     1
vfat2_totem_j58_vthreshold2       40010893    ffffffff     1     1
vfat2_totem_j58_calphase          40010894    ffffffff     1     1
vfat2_totem_j58_ctrl2             40010895    ffffffff     1     1
vfat2_totem_j58_ctrl3             40010896    ffffffff     1     1
vfat2_totem_j58_spare             40010897    ffffffff     1     1

****totem J55
vfat2_totem_j55_ctrl0             40010a00    ffffffff     1     1
vfat2_totem_j55_ctrl1             40010a01    ffffffff     1     1
vfat2_totem_j55_ipreampin         40010a02    ffffffff     1     1
vfat2_totem_j55_ipreampfeed       40010a03    ffffffff     1     1
vfat2_totem_j55_ipreampout        40010a04    ffffffff     1     1
vfat2_totem_j55_ishaper           40010a05    ffffffff     1     1
vfat2_totem_j55_ishaperfeed       40010a06    ffffffff     1     1
vfat2_totem_j55_icomp             40010a07    ffffffff     1     1
vfat2_totem_j55_chipid0           40010a08    ffffffff     1     0
vfat2_totem_j55_chipid1           40010a09    ffffffff     1     0
vfat2_totem_j55_upsetreg          40010a0A    ffffffff     1     0
vfat2_totem_j55_hitcounter0       40010a0B    ffffffff     1     0
vfat2_totem_j55_hitcounter1       40010a0C    ffffffff     1     0
vfat2_totem_j55_hitcounter2       40010a0D    ffffffff     1     0
vfat2_totem_j55_extregpointer     40010a0E    ffffffff     1     1
vfat2_totem_j55_extregdata        40010a0F    ffffffff     1     1
vfat2_totem_j55_lat               40010a10    ffffffff     1     1
vfat2_totem_j55_channel1          40010a11    ffffffff     1     1
vfat2_totem_j55_channel2          40010a12    ffffffff     1     1
vfat2_totem_j55_channel10         40010a20    ffffffff     1     1
vfat2_totem_j55_vcal              40010a91    ffffffff     1     1
vfat2_totem_j55_vthreshold1       40010a92    ffffffff     1     1
vfat2_totem_j55_vthreshold2       40010a93    ffffffff     1     1
vfat2_totem_j55_calphase          40010a94    ffffffff     1     1
vfat2_totem_j55_ctrl2             40010a95    ffffffff     1     1
vfat2_totem_j55_ctrl3             40010a96    ffffffff     1     1
vfat2_totem_j55_spare             40010a97    ffffffff     1     1

****totem J57
vfat2_totem_j57_ctrl0             40010c00    ffffffff     1     1
vfat2_totem_j57_ctrl1             40010c01    ffffffff     1     1
vfat2_totem_j57_ipreampin         40010c02    ffffffff     1     1
vfat2_totem_j57_ipreampfeed       40010c03    ffffffff     1     1
vfat2_totem_j57_ipreampout        40010c04    ffffffff     1     1
vfat2_totem_j57_ishaper           40010c05    ffffffff     1     1
vfat2_totem_j57_ishaperfeed       40010c06    ffffffff     1     1
vfat2_totem_j57_icomp             40010c07    ffffffff     1     1
vfat2_totem_j57_chipid0           40010c08    ffffffff     1     0
vfat2_totem_j57_chipid1           40010c09    ffffffff     1     0
vfat2_totem_j57_upsetreg          40010c0A    ffffffff     1     0
vfat2_totem_j57_hitcounter0       40010c0B    ffffffff     1     0
vfat2_totem_j57_hitcounter1       40010c0C    ffffffff     1     0
vfat2_totem_j57_hitcounter2       40010c0D    ffffffff     1     0
vfat2_totem_j57_extregpointer     40010c0E    ffffffff     1     1
vfat2_totem_j57_extregdata        40010c0F    ffffffff     1     1
vfat2_totem_j57_lat               40010c10    ffffffff     1     1
vfat2_totem_j57_channel1          40010c11    ffffffff     1     1
vfat2_totem_j57_channel2          40010c12    ffffffff     1     1
vfat2_totem_j57_channel10         40010c20    ffffffff     1     1
vfat2_totem_j57_vcal              40010c91    ffffffff     1     1
vfat2_totem_j57_vthreshold1       40010c92    ffffffff     1     1
vfat2_totem_j57_vthreshold2       40010c93    ffffffff     1     1
vfat2_totem_j57_calphase          40010c94    ffffffff     1     1
vfat2_totem_j57_ctrl2             40010c95    ffffffff     1     1
vfat2_totem_j57_ctrl3             40010c96    ffffffff     1     1
vfat2_totem_j57_spare             40010c97    ffffffff     1     1

*-------------------------------------------------------------------------------------------
* vfat2_ctrl0             	  40010500    ffffffff     1     1
* vfat2_ctrl1             	  40010501    ffffffff     1     1
* vfat2_ctrl2             	  40010502    ffffffff     1     1
* vfat2_ctrl3             	  40010503    ffffffff     1     1
* vfat2_ctrl4             	  40010504    ffffffff     1     1
* vfat2_ctrl5             	  40010505    ffffffff     1     1
* vfat2_ctrl6             	  40010506    ffffffff     1     1
* vfat2_ctrl7             	  40010507    ffffffff     1     1
* vfat2_ctrl8             	  40010508    ffffffff     1     1
* vfat2_ctrl9             	  40010509    ffffffff     1     1
* vfat2_ctrla             	  4001050a    ffffffff     1     1
* vfat2_ctrlb             	  4001050b    ffffffff     1     1
* vfat2_ctrlc             	  4001050c    ffffffff     1     1
* vfat2_ctrld             	  4001050d    ffffffff     1     1
* vfat2_ctrle             	  4001050e    ffffffff     1     1
* vfat2_ctrlf             	  4001050f    ffffffff     1     1
*-------------------------------------------------------------------------------------------
* vfat2_ctrl10             	  40010510    ffffffff     1     1
* vfat2_ctrl11             	  40010511    ffffffff     1     1
* vfat2_ctrl12             	  40010512    ffffffff     1     1
* vfat2_ctrl13             	  40010513    ffffffff     1     1
* vfat2_ctrl14             	  40010514    ffffffff     1     1
* vfat2_ctrl15             	  40010515    ffffffff     1     1
* vfat2_ctrl16             	  40010516    ffffffff     1     1
* vfat2_ctrl17             	  40010517    ffffffff     1     1
* vfat2_ctrl18             	  40010518    ffffffff     1     1
* vfat2_ctrl19             	  40010519    ffffffff     1     1
* vfat2_ctrl1a             	  4001051a    ffffffff     1     1
* vfat2_ctrl1b             	  4001051b    ffffffff     1     1
* vfat2_ctrl1c             	  4001051c    ffffffff     1     1
* vfat2_ctrl1d             	  4001051d    ffffffff     1     1
* vfat2_ctrl1e             	  4001051e    ffffffff     1     1
* vfat2_ctrl1f             	  4001051f    ffffffff     1     1
*-------------------------------------------------------------------------------------------
* vfat2_ctrl20             	  40010520    ffffffff     1     1
* vfat2_ctrl21             	  40010521    ffffffff     1     1
* vfat2_ctrl22             	  40010522    ffffffff     1     1
* vfat2_ctrl23             	  40010523    ffffffff     1     1
* vfat2_ctrl24             	  40010524    ffffffff     1     1
* vfat2_ctrl25             	  40010525    ffffffff     1     1
* vfat2_ctrl26             	  40010526    ffffffff     1     1
* vfat2_ctrl27             	  40010527    ffffffff     1     1
* vfat2_ctrl28             	  40010528    ffffffff     1     1
* vfat2_ctrl29             	  40010529    ffffffff     1     1
* vfat2_ctrl2a             	  4001052a    ffffffff     1     1
* vfat2_ctrl2b             	  4001052b    ffffffff     1     1
* vfat2_ctrl2c             	  4001052c    ffffffff     1     1
* vfat2_ctrl2d             	  4001052d    ffffffff     1     1
* vfat2_ctrl2e             	  4001052e    ffffffff     1     1
* vfat2_ctrl2f             	  4001052f    ffffffff     1     1
*-------------------------------------------------------------------------------------------

sysregs				  00000000    ffffffff     1     0
board_id			  00000000    ffffffff     1     0
  board_id_char1		  00000000    ff000000     1     0
  board_id_char2		  00000000    00ff0000     1     0
  board_id_char3		  00000000    0000ff00     1     0
  board_id_char4		  00000000    000000ff     1     0
sys_id				  00000001    ffffffff     1     0
  sys_id_char1			  00000001    ff000000     1     0
  sys_id_char2 			  00000001    00ff0000     1     0
  sys_id_char3			  00000001    0000ff00     1     0
